time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-03-19 17:09:53.360 UTC, ,125,3166957,1056,21104, , ,4, ,139,4,0.03, , , , , , , ,4,4, ,55, ,2,2,6, ,53,7, , , , , , , , , , , , , ,12837,2,7861,7861,1, ,4,8, ,47,47, , , , , ,1,104, , , , , , , , , , , , , , , , , , , , , , , , ,1521479393098, , , , ,3145728, , , ,15,2,1,2,1,4,1, , ,3,2, , , ,15, ,4096,1, , , , ,21016906,28,5094,1, , , , ,2,195,5,110,122697912,15, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-19 17:10:53.364 UTC, ,125,3204981,4768,55768,3360, ,4, ,83, , , , , , , , , ,4,4, , , ,2,2,4, ,60,59, , , , , , , , , , , , , ,12837,2,7861,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479393098, , , , ,3145728, , , ,59,0, , , ,1, , , ,3, , , , ,59,1, , , , , , ,7654,60, , , , , , , , , , ,312923016,7, , , , , , ,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,11, , , , , , , 
2018-03-19 17:11:53.371 UTC, ,125,3204981,4768,55768,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2,7861,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479393098, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,7,73726744,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-19 17:12:53.380 UTC, ,125,3204981,4768,55768,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2,7861,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479393098, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,257887200,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
2018-03-19 17:13:53.385 UTC, ,125,3204981,4768,55768,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2,7861,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479393098, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,271185008,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-19 17:17:55.716 UTC, ,125,3161557,1056,15704, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,8, , , , , , , , , , , , , ,12837,2, ,7861, , , , , ,47,47, , , , , ,1,117, , , , , , , , , , , , , , , , , , , , , , , , ,1521479875381, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,4096,1, , , , ,21008852,27, , , , , , ,2,241,5,120,122034848,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-19 17:18:55.725 UTC, ,125,3204581,4768,55368,3360, ,4, ,83,1,0.01, , , , , , , ,4,4, , , ,2,2,4, ,60,59, , , , , , , , , , , , , ,12837,2, ,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479875381, , , , ,3145728, , , ,61,0, , , ,1, , , ,3, , , , ,61,1, , , , , , ,15846,62, , , , , , , , , , ,311252608,2, , , , , , ,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,11, , , , , , , 
2018-03-19 17:19:55.729 UTC, ,125,3204581,4768,55368,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2, ,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479875381, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,9,73806336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-19 17:20:55.736 UTC, ,125,3204581,4768,55368,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2, ,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479875381, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,257483664,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
2018-03-19 17:21:55.740 UTC, ,125,3204581,4768,55368,3360, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,12837,2, ,7861, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1521479875381, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,270770448,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
